id,title,Main Story,Main + Extras,Completionist,All Styles,Co-Op,Vs.,Type,Developers,Publishers,Playable On,Genres,NA,EU,JP
+1125,Bladeslinger,NA,NA,NA,NA,NA,NA,NA,Luma Arcade,NA,NA,Shooter,2012,NA,NA
+36757,Bladestar (2016),NA,NA,NA,NA,NA,NA,NA,Fair Weather Studios,Fair Weather Studios,NA,Action,"January 15, 2016","January 15, 2016",NA
+22388,Bladestorm: Nightmare,31,39,NA,34.5,NA,NA,NA,Omega Force,Koei,"PC, PlayStation 4","Real-Time, Strategy, Tactical","March 17, 2015",NA,NA
+1126,Bladestorm: The Hundred Years' War,28,51,100,54.5,NA,NA,NA,Omega Force,Koei,"PlayStation 3, Xbox 360",Real-time tactics,"November 06, 2007","November 02, 2007","August 30, 2007"
+1127,Blair Witch Volume 1: Rustin Parr,4.5,NA,7,6,NA,NA,NA,Terminal Reality,Gathering of Developers,PC,"Action, Adventure","October 03, 2000",NA,NA
+1128,Blair Witch Volume 2: The Legend of Coffin Rock,2.5,NA,3.5,3,NA,NA,NA,Human Head Studios,Gathering of Developers,PC,"Action, Adventure","October 25, 2000",NA,NA
+1129,Blair Witch Volume 3: The Elly Kedward Tale,2,NA,3,2,NA,NA,NA,Ritual Entertainment,Gathering of Developers,PC,"Action, Adventure","November 21, 2000",NA,NA
+43716,Blaite (2017),NA,NA,2,2,NA,NA,NA,Dosane Games,Glossware Games,PC,Action,"January 02, 2017","January 02, 2017",NA
+1130,Blake Stone: Aliens of Gold,7,NA,7,7,NA,NA,NA,JAM Productions,Apogee Software,PC,First-person shooter,"December 03, 1993",NA,NA
+1131,Blake Stone: Planet Strike,6.5,8,NA,6.5,NA,NA,NA,JAM Productions,Apogee Software,PC,"First-Person, Shooter","October 28, 1994",NA,NA
+38655,Blamdown Udder Fury,NA,NA,NA,NA,NA,NA,NA,Guru Games,Guru Games,NA,"Multidirectional, Shooter","August 30, 2016","August 30, 2016",NA
+40511,Blameless,0.7166666666666667,0.8,0.8,0.75,NA,NA,NA,Vaclav Hudec,Vaclav Hudec,"Mac, PC","First-Person, Real-Time, Adventure, Puzzle, Survival Horror","October 13, 2016",NA,NA
+33502,Blandia,NA,NA,NA,NA,NA,NA,NA,"Allumer, Ving","Allumer, Ving",NA,Fighting,"September 30, 1994",NA,NA
+52633,Blank Dream,NA,NA,NA,NA,NA,NA,NA,Kanawo,NA,NA,"Top-Down, Adventure, Survival Horror",NA,NA,NA
+53988,Blast Brawl 2: Bloody Boogaloo,NA,NA,NA,NA,NA,NA,NA,Mind's Eye Games,Mind's Eye Games,NA,Action,"October 26, 2016","October 26, 2016",NA
+1132,Blast Chamber,9,NA,NA,9,NA,NA,NA,Attention To Detail,Activision,NA,Action,"October 23, 1996",November 1996,"December 27, 1996"
+1133,Blast Corps,10,11,15,11.5,NA,NA,NA,Rare,Nintendo,"Nintendo 64, Xbox One","Action, Puzzle","March 24, 1997",NA,NA
+17570,Blast Em!,NA,3,10.5,5.5,NA,NA,NA,Xiotex Studios,Mastertronic,PC,Shooter,"January 22, 2014",NA,NA
+12215,Blast Factor,NA,NA,NA,NA,NA,NA,NA,"Bluepoint Games, SCE Santa Monica Studio",Sony Computer Entertainment,PlayStation 3,Shooter,"November 17, 2006","March 23, 2007",NA
+1134,Blast Lacrosse,NA,NA,NA,NA,NA,NA,NA,Sandbox Studios,Acclaim Sports,NA,Sports,"May 23, 2001",NA,NA
